GISJOIN,STATEFP,COUNTYFP,TRACTCE,pov_fam_5_17,nonpov_fam_5_17,tot_fam_5_17,Percent_Pov_Fam5_17
G1200010000200,12,1,200,81,67,148,0.5472973
G1200010000301,12,1,301,77,173,250,0.308
G1200010000302,12,1,302,52,141,193,0.26943004
G1200010000400,12,1,400,311,280,591,0.52622676
G1200010000500,12,1,500,128,218,346,0.36994219
G1200010000600,12,1,600,197,216,413,0.47699758
G1200010000700,12,1,700,120,357,477,0.25157234
G1200010000806,12,1,806,0,31,31,0
G1200010000808,12,1,808,17,64,81,0.20987654
G1200010000809,12,1,809,6,60,66,0.090909094
G1200010000901,12,1,901,39,9,48,0.8125
G1200010000902,12,1,902,0,0,0,
G1200010001000,12,1,1000,0,187,187,0
G1200010001100,12,1,1100,42,424,466,0.090128757
G1200010001201,12,1,1201,0,283,283,0
G1200010001202,12,1,1202,144,418,562,0.25622776
G1200010001203,12,1,1203,43,201,244,0.17622951
G1200010001400,12,1,1400,63,147,210,0.30000001
G1200010001514,12,1,1514,0,17,17,0
G1200010001515,12,1,1515,98,37,135,0.72592592
G1200010001516,12,1,1516,54,15,69,0.78260869
G1200010001517,12,1,1517,0,62,62,0
G1200010001519,12,1,1519,0,97,97,0
G1200010001520,12,1,1520,50,15,65,0.76923078
G1200010001521,12,1,1521,34,51,85,0.40000001
G1200010001603,12,1,1603,5,53,58,0.086206898
G1200010001604,12,1,1604,0,171,171,0
G1200010001701,12,1,1701,43,476,519,0.082851641
G1200010001702,12,1,1702,21,343,364,0.057692308
G1200010001801,12,1,1801,72,593,665,0.10827067
G1200010001802,12,1,1802,117,155,272,0.43014705
G1200010001803,12,1,1803,123,398,521,0.23608445
G1200010001805,12,1,1805,20,107,127,0.15748031
G1200010001806,12,1,1806,170,686,856,0.19859813
G1200010001811,12,1,1811,76,507,583,0.1303602
G1200010001813,12,1,1813,18,400,418,0.043062203
G1200010001814,12,1,1814,0,266,266,0
G1200010001902,12,1,1902,64,166,230,0.27826086
G1200010001907,12,1,1907,84,91,175,0.47999999
G1200010001908,12,1,1908,39,357,396,0.098484851
G1200010002000,12,1,2000,219,476,695,0.31510791
G1200010002101,12,1,2101,53,134,187,0.28342247
G1200010002102,12,1,2102,8,54,62,0.12903225
G1200010002201,12,1,2201,0,383,383,0
G1200010002202,12,1,2202,0,565,565,0
G1200010002204,12,1,2204,0,1358,1358,0
G1200010002205,12,1,2205,102,900,1002,0.1017964
G1200010002207,12,1,2207,0,431,431,0
G1200010002208,12,1,2208,25,244,269,0.092936806
G1200010002209,12,1,2209,64,626,690,0.092753626
G1200010002210,12,1,2210,61,390,451,0.13525499
G1200010002217,12,1,2217,233,187,420,0.55476189
G1200010002218,12,1,2218,84,130,214,0.39252338
G1200010002219,12,1,2219,247,432,679,0.36377025
G1200010002220,12,1,2220,30,102,132,0.22727273
G1200010110800,12,1,110800,0,62,62,0
G1200030040101,12,3,40101,84,596,680,0.12352941
G1200030040102,12,3,40102,181,672,853,0.21219227
G1200030040201,12,3,40201,157,280,437,0.35926774
G1200030040202,12,3,40202,166,463,629,0.26391098
G1200050000201,12,5,201,34,489,523,0.065009557
G1200050000202,12,5,202,97,404,501,0.19361277
G1200050000300,12,5,300,227,448,675,0.33629629
G1200050000400,12,5,400,58,623,681,0.085168868
G1200050000500,12,5,500,67,467,534,0.12546816
G1200050000600,12,5,600,5,30,35,0.14285715
G1200050000700,12,5,700,38,329,367,0.10354223
G1200050000803,12,5,803,127,357,484,0.26239669
G1200050000804,12,5,804,27,164,191,0.14136125
G1200050000805,12,5,805,210,281,491,0.42769858
G1200050000806,12,5,806,114,233,347,0.32853025
G1200050000900,12,5,900,85,199,284,0.29929578
G1200050001000,12,5,1000,101,98,199,0.50753766
G1200050001100,12,5,1100,239,269,508,0.47047246
G1200050001200,12,5,1200,46,220,266,0.17293233
G1200050001301,12,5,1301,60,496,556,0.10791367
G1200050001302,12,5,1302,98,523,621,0.15780999
G1200050001402,12,5,1402,12,659,671,0.017883755
G1200050001403,12,5,1403,74,216,290,0.2551724
G1200050001404,12,5,1404,10,388,398,0.025125628
G1200050001501,12,5,1501,6,424,430,0.013953488
G1200050001502,12,5,1502,44,315,359,0.12256268
G1200050001600,12,5,1600,133,250,383,0.34725848
G1200050001700,12,5,1700,51,215,266,0.19172932
G1200050001800,12,5,1800,61,63,124,0.49193549
G1200050001900,12,5,1900,22,352,374,0.05882353
G1200050002000,12,5,2000,15,52,67,0.2238806
G1200050002200,12,5,2200,130,348,478,0.27196652
G1200050002300,12,5,2300,51,309,360,0.14166667
G1200050002400,12,5,2400,224,272,496,0.45161289
G1200050002500,12,5,2500,50,236,286,0.17482518
G1200050002601,12,5,2601,59,160,219,0.26940638
G1200050002603,12,5,2603,55,137,192,0.28645834
G1200050002604,12,5,2604,57,621,678,0.084070794
G1200050002605,12,5,2605,0,30,30,0
G1200050002606,12,5,2606,4,42,46,0.086956523
G1200050002607,12,5,2607,6,16,22,0.27272728
G1200050002608,12,5,2608,0,159,159,0
G1200050002701,12,5,2701,26,170,196,0.13265306
G1200050002702,12,5,2702,7,84,91,0.07692308
G1200050002703,12,5,2703,59,298,357,0.16526611
G1200050002704,12,5,2704,25,299,324,0.077160493
G1200050002705,12,5,2705,4,102,106,0.03773585
G1200050990000,12,5,990000,0,0,0,
G1200070000100,12,7,100,206,356,562,0.36654803
G1200070000200,12,7,200,170,390,560,0.30357143
G1200070000300,12,7,300,195,564,759,0.256917
G1200070000400,12,7,400,168,271,439,0.38268793
G1200090060101,12,9,60101,159,134,293,0.54266214
G1200090060102,12,9,60102,0,287,287,0
G1200090060200,12,9,60200,13,378,391,0.033248082
G1200090060300,12,9,60300,59,467,526,0.1121673
G1200090060400,12,9,60400,160,157,317,0.50473183
G1200090060500,12,9,60500,132,224,356,0.37078652
G1200090060600,12,9,60600,262,238,500,0.52399999
G1200090060700,12,9,60700,241,74,315,0.76507938
G1200090061001,12,9,61001,45,437,482,0.093360998
G1200090061002,12,9,61002,146,116,262,0.55725193
G1200090061100,12,9,61100,31,381,412,0.075242721
G1200090061201,12,9,61201,0,541,541,0
G1200090061202,12,9,61202,0,205,205,0
G1200090062103,12,9,62103,132,480,612,0.21568628
G1200090062104,12,9,62104,11,463,474,0.023206752
G1200090062106,12,9,62106,131,186,317,0.41324922
G1200090062107,12,9,62107,18,163,181,0.099447511
G1200090062108,12,9,62108,29,661,690,0.042028986
G1200090062109,12,9,62109,169,288,457,0.36980307
G1200090062301,12,9,62301,169,176,345,0.48985508
G1200090062302,12,9,62302,183,167,350,0.52285713
G1200090062400,12,9,62400,281,357,638,0.44043887
G1200090062500,12,9,62500,104,169,273,0.38095239
G1200090062600,12,9,62600,233,164,397,0.58690178
G1200090062800,12,9,62800,44,291,335,0.13134329
G1200090062900,12,9,62900,109,502,611,0.17839608
G1200090063000,12,9,63000,45,329,374,0.12032086
G1200090063102,12,9,63102,70,718,788,0.08883249
G1200090063104,12,9,63104,0,283,283,0
G1200090063105,12,9,63105,0,816,816,0
G1200090063106,12,9,63106,68,318,386,0.1761658
G1200090063107,12,9,63107,11,809,820,0.013414634
G1200090064102,12,9,64102,0,429,429,0
G1200090064123,12,9,64123,0,266,266,0
G1200090064124,12,9,64124,58,272,330,0.17575757
G1200090064125,12,9,64125,30,421,451,0.066518851
G1200090064126,12,9,64126,0,310,310,0
G1200090064127,12,9,64127,73,451,524,0.13931298
G1200090064128,12,9,64128,48,1198,1246,0.038523275
G1200090064201,12,9,64201,87,128,215,0.40465117
G1200090064202,12,9,64202,65,117,182,0.35714287
G1200090064301,12,9,64301,156,528,684,0.22807017
G1200090064302,12,9,64302,35,407,442,0.079185523
G1200090064400,12,9,64400,148,348,496,0.29838711
G1200090064500,12,9,64500,52,351,403,0.12903225
G1200090064601,12,9,64601,29,506,535,0.054205608
G1200090064602,12,9,64602,21,90,111,0.1891892
G1200090064700,12,9,64700,19,199,218,0.087155961
G1200090064800,12,9,64800,28,102,130,0.21538462
G1200090064901,12,9,64901,32,200,232,0.13793103
G1200090064902,12,9,64902,32,100,132,0.24242425
G1200090065001,12,9,65001,0,240,240,0
G1200090065021,12,9,65021,26,901,927,0.028047465
G1200090065022,12,9,65022,93,295,388,0.23969072
G1200090065121,12,9,65121,212,427,639,0.33176839
G1200090065122,12,9,65122,241,354,595,0.40504202
G1200090065123,12,9,65123,56,141,197,0.28426397
G1200090065124,12,9,65124,114,58,172,0.66279072
G1200090065125,12,9,65125,100,178,278,0.35971224
G1200090065201,12,9,65201,116,292,408,0.28431374
G1200090065202,12,9,65202,55,376,431,0.12761021
G1200090065231,12,9,65231,112,403,515,0.21747573
G1200090065234,12,9,65234,11,72,83,0.13253012
G1200090065235,12,9,65235,112,32,144,0.77777779
G1200090065236,12,9,65236,0,91,91,0
G1200090066101,12,9,66101,0,268,268,0
G1200090066103,12,9,66103,6,71,77,0.077922076
G1200090066104,12,9,66104,78,251,329,0.23708206
G1200090066200,12,9,66200,46,205,251,0.18326694
G1200090066301,12,9,66301,163,442,605,0.26942149
G1200090066302,12,9,66302,0,302,302,0
G1200090066400,12,9,66400,148,227,375,0.39466667
G1200090066500,12,9,66500,39,286,325,0.12
G1200090066600,12,9,66600,25,346,371,0.067385443
G1200090066700,12,9,66700,14,340,354,0.039548021
G1200090066800,12,9,66800,30,160,190,0.15789473
G1200090066900,12,9,66900,117,551,668,0.17514969
G1200090067100,12,9,67100,4,132,136,0.029411765
G1200090068101,12,9,68101,6,110,116,0.05172414
G1200090068102,12,9,68102,79,368,447,0.17673378
G1200090068200,12,9,68200,11,185,196,0.056122448
G1200090068300,12,9,68300,0,33,33,0
G1200090068400,12,9,68400,21,39,60,0.34999999
G1200090068501,12,9,68501,11,45,56,0.19642857
G1200090068502,12,9,68502,20,106,126,0.15873016
G1200090068601,12,9,68601,28,63,91,0.30769232
G1200090068602,12,9,68602,19,98,117,0.16239317
G1200090069100,12,9,69100,80,420,500,0.16
G1200090069200,12,9,69200,22,149,171,0.12865497
G1200090069300,12,9,69300,0,193,193,0
G1200090069400,12,9,69400,36,427,463,0.077753782
G1200090069700,12,9,69700,74,89,163,0.45398772
G1200090069801,12,9,69801,70,234,304,0.23026316
G1200090069802,12,9,69802,201,337,538,0.37360594
G1200090069901,12,9,69901,68,711,779,0.087291397
G1200090069902,12,9,69902,104,280,384,0.27083334
G1200090071100,12,9,71100,63,143,206,0.30582523
G1200090071200,12,9,71200,0,1453,1453,0
G1200090071301,12,9,71301,0,326,326,0
G1200090071322,12,9,71322,219,897,1116,0.19623657
G1200090071332,12,9,71332,359,1036,1395,0.25734767
G1200090071334,12,9,71334,46,544,590,0.077966101
G1200090071335,12,9,71335,11,410,421,0.026128266
G1200090071336,12,9,71336,18,469,487,0.036960986
G1200090071337,12,9,71337,293,636,929,0.31539288
G1200090071338,12,9,71338,135,754,889,0.15185602
G1200090071339,12,9,71339,72,553,625,0.1152
G1200090071340,12,9,71340,221,996,1217,0.18159409
G1200090071400,12,9,71400,27,47,74,0.36486486
G1200090071500,12,9,71500,27,117,144,0.1875
G1200090071600,12,9,71600,116,155,271,0.42804429
G1200090980000,12,9,980000,0,0,0,
G1200090980100,12,9,980100,0,0,0,
G1200090990000,12,9,990000,0,0,0,
G1200110010102,12,11,10102,22,164,186,0.11827957
G1200110010103,12,11,10103,44,154,198,0.22222222
G1200110010104,12,11,10104,8,43,51,0.15686275
G1200110010200,12,11,10200,98,406,504,0.19444445
G1200110010304,12,11,10304,157,259,416,0.37740386
G1200110010305,12,11,10305,117,221,338,0.34615386
G1200110010306,12,11,10306,25,192,217,0.11520737
G1200110010307,12,11,10307,95,191,286,0.33216783
G1200110010308,12,11,10308,51,268,319,0.1598746
G1200110010401,12,11,10401,83,452,535,0.15514019
G1200110010402,12,11,10402,51,180,231,0.22077923
G1200110010403,12,11,10403,0,0,0,
G1200110010405,12,11,10405,195,651,846,0.23049645
G1200110010406,12,11,10406,49,398,447,0.10961968
G1200110010407,12,11,10407,39,262,301,0.1295681
G1200110010502,12,11,10502,24,416,440,0.054545455
G1200110010503,12,11,10503,53,1891,1944,0.027263375
G1200110010504,12,11,10504,72,833,905,0.079558007
G1200110010601,12,11,10601,34,1079,1113,0.030548068
G1200110010603,12,11,10603,2,733,735,0.002721089
G1200110010604,12,11,10604,78,508,586,0.1331058
G1200110010605,12,11,10605,12,726,738,0.016260162
G1200110010606,12,11,10606,64,789,853,0.075029306
G1200110010607,12,11,10607,51,1307,1358,0.037555229
G1200110010609,12,11,10609,11,343,354,0.031073445
G1200110010610,12,11,10610,46,568,614,0.074918568
G1200110010611,12,11,10611,45,415,460,0.097826086
G1200110010612,12,11,10612,8,899,907,0.008820287
G1200110010701,12,11,10701,128,402,530,0.24150944
G1200110010702,12,11,10702,214,612,826,0.2590799
G1200110010800,12,11,10800,308,367,675,0.45629629
G1200110010901,12,11,10901,17,119,136,0.125
G1200110010902,12,11,10902,0,143,143,0
G1200110011000,12,11,11000,0,20,20,0
G1200110020101,12,11,20101,12,765,777,0.015444015
G1200110020103,12,11,20103,63,461,524,0.12022901
G1200110020104,12,11,20104,9,118,127,0.070866145
G1200110020204,12,11,20204,43,475,518,0.083011582
G1200110020205,12,11,20205,65,573,638,0.10188088
G1200110020206,12,11,20206,96,291,387,0.24806201
G1200110020207,12,11,20207,0,299,299,0
G1200110020209,12,11,20209,56,235,291,0.19243987
G1200110020210,12,11,20210,70,362,432,0.16203703
G1200110020211,12,11,20211,42,148,190,0.22105263
G1200110020212,12,11,20212,26,85,111,0.23423423
G1200110020302,12,11,20302,203,416,619,0.3279483
G1200110020308,12,11,20308,151,576,727,0.20770289
G1200110020309,12,11,20309,22,547,569,0.038664322
G1200110020311,12,11,20311,73,323,396,0.18434343
G1200110020312,12,11,20312,62,655,717,0.086471409
G1200110020313,12,11,20313,338,586,924,0.36580086
G1200110020314,12,11,20314,70,343,413,0.16949153
G1200110020315,12,11,20315,76,462,538,0.14126395
G1200110020316,12,11,20316,127,434,561,0.22638147
G1200110020317,12,11,20317,45,399,444,0.10135135
G1200110020318,12,11,20318,102,998,1100,0.092727274
G1200110020319,12,11,20319,65,645,710,0.091549292
G1200110020320,12,11,20320,66,425,491,0.13441955
G1200110020321,12,11,20321,0,180,180,0
G1200110020322,12,11,20322,64,270,334,0.19161677
G1200110020323,12,11,20323,68,252,320,0.21250001
G1200110020324,12,11,20324,61,629,690,0.088405795
G1200110020325,12,11,20325,41,411,452,0.090707965
G1200110020326,12,11,20326,245,620,865,0.28323698
G1200110020404,12,11,20404,108,690,798,0.13533835
G1200110020405,12,11,20405,127,395,522,0.24329501
G1200110020406,12,11,20406,225,673,898,0.2505568
G1200110020407,12,11,20407,190,624,814,0.23341523
G1200110020409,12,11,20409,42,320,362,0.1160221
G1200110020411,12,11,20411,32,618,650,0.049230769
G1200110020412,12,11,20412,232,252,484,0.47933885
G1200110020413,12,11,20413,207,693,900,0.23
G1200110020414,12,11,20414,32,361,393,0.081424937
G1200110020415,12,11,20415,53,231,284,0.18661971
G1200110020501,12,11,20501,62,564,626,0.099041536
G1200110020502,12,11,20502,229,674,903,0.25359911
G1200110030100,12,11,30100,10,314,324,0.030864198
G1200110030201,12,11,30201,198,238,436,0.45412844
G1200110030202,12,11,30202,19,125,144,0.13194445
G1200110030203,12,11,30203,153,295,448,0.34151787
G1200110030301,12,11,30301,164,52,216,0.75925928
G1200110030302,12,11,30302,144,407,551,0.261343
G1200110030401,12,11,30401,98,254,352,0.27840909
G1200110030402,12,11,30402,242,186,428,0.56542057
G1200110030500,12,11,30500,223,232,455,0.49010989
G1200110030600,12,11,30600,161,359,520,0.30961537
G1200110030702,12,11,30702,0,334,334,0
G1200110030703,12,11,30703,43,413,456,0.094298244
G1200110030704,12,11,30704,18,213,231,0.077922076
G1200110030705,12,11,30705,0,0,0,
G1200110030801,12,11,30801,437,305,742,0.58894879
G1200110030802,12,11,30802,0,231,231,0
G1200110030902,12,11,30902,51,159,210,0.24285714
G1200110030903,12,11,30903,287,149,436,0.65825689
G1200110030904,12,11,30904,37,440,477,0.077568136
G1200110031001,12,11,31001,45,105,150,0.30000001
G1200110031002,12,11,31002,134,299,433,0.30946884
G1200110031101,12,11,31101,39,150,189,0.20634921
G1200110031102,12,11,31102,27,121,148,0.18243243
G1200110031202,12,11,31202,0,172,172,0
G1200110031203,12,11,31203,0,18,18,0
G1200110031204,12,11,31204,7,0,7,1
G1200110031205,12,11,31205,0,80,80,0
G1200110040101,12,11,40101,0,58,58,0
G1200110040102,12,11,40102,8,140,148,0.054054055
G1200110040203,12,11,40203,0,73,73,0
G1200110040204,12,11,40204,0,87,87,0
G1200110040205,12,11,40205,0,318,318,0
G1200110040206,12,11,40206,18,204,222,0.081081077
G1200110040300,12,11,40300,41,206,247,0.1659919
G1200110040401,12,11,40401,11,86,97,0.11340206
G1200110040402,12,11,40402,55,156,211,0.26066351
G1200110040502,12,11,40502,0,174,174,0
G1200110040503,12,11,40503,0,48,48,0
G1200110040504,12,11,40504,0,13,13,0
G1200110040601,12,11,40601,45,144,189,0.23809524
G1200110040602,12,11,40602,0,197,197,0
G1200110040701,12,11,40701,0,120,120,0
G1200110040702,12,11,40702,35,197,232,0.15086207
G1200110040801,12,11,40801,205,179,384,0.53385419
G1200110040802,12,11,40802,152,159,311,0.48874599
G1200110040901,12,11,40901,223,279,502,0.44422311
G1200110040902,12,11,40902,131,290,421,0.3111639
G1200110041000,12,11,41000,112,166,278,0.40287769
G1200110041100,12,11,41100,165,405,570,0.28947368
G1200110041200,12,11,41200,203,248,451,0.45011085
G1200110041300,12,11,41300,299,475,774,0.38630491
G1200110041400,12,11,41400,254,142,396,0.64141417
G1200110041500,12,11,41500,254,194,448,0.56696427
G1200110041600,12,11,41600,258,401,659,0.39150229
G1200110041700,12,11,41700,259,148,407,0.63636363
G1200110041801,12,11,41801,20,65,85,0.23529412
G1200110041802,12,11,41802,13,131,144,0.090277776
G1200110041900,12,11,41900,0,111,111,0
G1200110042000,12,11,42000,8,146,154,0.051948052
G1200110042100,12,11,42100,0,95,95,0
G1200110042200,12,11,42200,0,152,152,0
G1200110042301,12,11,42301,0,148,148,0
G1200110042302,12,11,42302,0,63,63,0
G1200110042400,12,11,42400,0,134,134,0
G1200110042500,12,11,42500,0,164,164,0
G1200110042600,12,11,42600,13,102,115,0.11304348
G1200110042700,12,11,42700,249,267,516,0.48255813
G1200110042800,12,11,42800,314,499,813,0.38622385
G1200110042900,12,11,42900,237,512,749,0.3164219
G1200110043001,12,11,43001,0,53,53,0
G1200110043002,12,11,43002,150,621,771,0.19455253
G1200110043100,12,11,43100,133,342,475,0.28
G1200110043301,12,11,43301,160,338,498,0.32128513
G1200110043302,12,11,43302,80,135,215,0.37209302
G1200110050100,12,11,50100,50,383,433,0.11547344
G1200110050204,12,11,50204,156,280,436,0.35779816
G1200110050205,12,11,50205,22,128,150,0.14666666
G1200110050206,12,11,50206,62,216,278,0.22302158
G1200110050207,12,11,50207,75,575,650,0.11538462
G1200110050208,12,11,50208,169,359,528,0.32007575
G1200110050301,12,11,50301,333,657,990,0.33636364
G1200110050306,12,11,50306,153,333,486,0.31481481
G1200110050307,12,11,50307,171,406,577,0.29636049
G1200110050308,12,11,50308,122,213,335,0.3641791
G1200110050309,12,11,50309,49,239,288,0.1701389
G1200110050310,12,11,50310,0,418,418,0
G1200110050311,12,11,50311,107,181,288,0.37152779
G1200110050312,12,11,50312,34,156,190,0.17894737
G1200110050401,12,11,50401,29,191,220,0.13181818
G1200110050402,12,11,50402,25,138,163,0.15337424
G1200110050501,12,11,50501,93,238,331,0.28096676
G1200110050502,12,11,50502,91,316,407,0.22358723
G1200110050601,12,11,50601,51,115,166,0.30722892
G1200110050602,12,11,50602,122,78,200,0.61000001
G1200110050701,12,11,50701,140,163,303,0.46204621
G1200110050702,12,11,50702,165,338,503,0.32803181
G1200110050800,12,11,50800,201,291,492,0.40853658
G1200110050900,12,11,50900,32,274,306,0.10457516
G1200110051001,12,11,51001,0,130,130,0
G1200110051002,12,11,51002,6,57,63,0.095238097
G1200110060105,12,11,60105,174,546,720,0.24166666
G1200110060107,12,11,60107,22,206,228,0.096491225
G1200110060109,12,11,60109,0,182,182,0
G1200110060111,12,11,60111,51,689,740,0.068918921
G1200110060112,12,11,60112,31,239,270,0.11481482
G1200110060113,12,11,60113,157,585,742,0.21159029
G1200110060114,12,11,60114,98,589,687,0.1426492
G1200110060115,12,11,60115,20,716,736,0.027173912
G1200110060116,12,11,60116,74,829,903,0.081949055
G1200110060117,12,11,60117,209,743,952,0.21953781
G1200110060118,12,11,60118,26,516,542,0.047970481
G1200110060119,12,11,60119,12,394,406,0.029556651
G1200110060120,12,11,60120,34,656,690,0.049275361
G1200110060121,12,11,60121,14,595,609,0.022988506
G1200110060122,12,11,60122,108,391,499,0.21643287
G1200110060123,12,11,60123,60,227,287,0.20905924
G1200110060124,12,11,60124,98,277,375,0.26133335
G1200110060125,12,11,60125,55,239,294,0.18707483
G1200110060126,12,11,60126,90,467,557,0.16157989
G1200110060127,12,11,60127,149,110,259,0.57528955
G1200110060128,12,11,60128,139,541,680,0.20441176
G1200110060203,12,11,60203,210,353,563,0.37300178
G1200110060206,12,11,60206,88,209,297,0.2962963
G1200110060207,12,11,60207,24,136,160,0.15000001
G1200110060208,12,11,60208,134,437,571,0.234676
G1200110060209,12,11,60209,44,217,261,0.16858238
G1200110060210,12,11,60210,33,294,327,0.10091743
G1200110060211,12,11,60211,0,83,83,0
G1200110060212,12,11,60212,0,265,265,0
G1200110060213,12,11,60213,0,93,93,0
G1200110060302,12,11,60302,315,325,640,0.4921875
G1200110060303,12,11,60303,100,555,655,0.15267175
G1200110060304,12,11,60304,171,204,375,0.456
G1200110060305,12,11,60305,99,179,278,0.3561151
G1200110060306,12,11,60306,30,31,61,0.49180329
G1200110060401,12,11,60401,87,302,389,0.22365038
G1200110060402,12,11,60402,107,630,737,0.14518318
G1200110060403,12,11,60403,13,283,296,0.043918919
G1200110060501,12,11,60501,259,479,738,0.35094851
G1200110060503,12,11,60503,28,458,486,0.057613168
G1200110060504,12,11,60504,22,344,366,0.060109291
G1200110060505,12,11,60505,0,161,161,0
G1200110060603,12,11,60603,0,453,453,0
G1200110060605,12,11,60605,23,303,326,0.070552148
G1200110060606,12,11,60606,24,420,444,0.054054055
G1200110060607,12,11,60607,18,250,268,0.067164183
G1200110060608,12,11,60608,74,462,536,0.13805971
G1200110060609,12,11,60609,60,230,290,0.20689656
G1200110060700,12,11,60700,11,250,261,0.042145595
G1200110060801,12,11,60801,23,215,238,0.096638657
G1200110060802,12,11,60802,195,475,670,0.29104477
G1200110060900,12,11,60900,23,423,446,0.051569507
G1200110061001,12,11,61001,13,547,560,0.023214286
G1200110061002,12,11,61002,55,755,810,0.067901231
G1200110061100,12,11,61100,128,561,689,0.18577649
G1200110070101,12,11,70101,176,557,733,0.24010915
G1200110070102,12,11,70102,0,148,148,0
G1200110070204,12,11,70204,61,143,204,0.2990196
G1200110070205,12,11,70205,67,554,621,0.1078905
G1200110070207,12,11,70207,45,326,371,0.1212938
G1200110070208,12,11,70208,167,1076,1243,0.13435237
G1200110070209,12,11,70209,0,632,632,0
G1200110070210,12,11,70210,36,230,266,0.13533835
G1200110070211,12,11,70211,0,553,553,0
G1200110070304,12,11,70304,32,875,907,0.035281148
G1200110070305,12,11,70305,41,763,804,0.050995026
G1200110070306,12,11,70306,42,906,948,0.044303797
G1200110070310,12,11,70310,38,277,315,0.12063492
G1200110070311,12,11,70311,104,795,899,0.11568409
G1200110070312,12,11,70312,45,939,984,0.045731708
G1200110070313,12,11,70313,49,1525,1574,0.031130876
G1200110070314,12,11,70314,37,447,484,0.07644628
G1200110070315,12,11,70315,5,663,668,0.00748503
G1200110070316,12,11,70316,38,546,584,0.065068491
G1200110070317,12,11,70317,210,2434,2644,0.079425111
G1200110070318,12,11,70318,13,877,890,0.014606741
G1200110070319,12,11,70319,39,694,733,0.053206004
G1200110070320,12,11,70320,92,1081,1173,0.078431375
G1200110070321,12,11,70321,35,146,181,0.19337016
G1200110070322,12,11,70322,30,718,748,0.040106952
G1200110070401,12,11,70401,49,692,741,0.066126853
G1200110070402,12,11,70402,27,431,458,0.058951966
G1200110070403,12,11,70403,85,605,690,0.12318841
G1200110070404,12,11,70404,28,328,356,0.078651689
G1200110070405,12,11,70405,0,652,652,0
G1200110070501,12,11,70501,4,647,651,0.006144393
G1200110070502,12,11,70502,198,1053,1251,0.15827338
G1200110070601,12,11,70601,75,400,475,0.15789473
G1200110070602,12,11,70602,70,357,427,0.16393442
G1200110080101,12,11,80101,0,167,167,0
G1200110080102,12,11,80102,205,214,419,0.48926014
G1200110080103,12,11,80103,0,53,53,0
G1200110080200,12,11,80200,0,79,79,0
G1200110080402,12,11,80402,24,112,136,0.17647059
G1200110080403,12,11,80403,183,495,678,0.2699115
G1200110080405,12,11,80405,40,167,207,0.19323671
G1200110080406,12,11,80406,41,447,488,0.08401639
G1200110080500,12,11,80500,581,399,980,0.59285712
G1200110090101,12,11,90101,0,214,214,0
G1200110090102,12,11,90102,0,0,0,
G1200110090200,12,11,90200,33,324,357,0.092436977
G1200110090301,12,11,90301,43,54,97,0.44329897
G1200110090302,12,11,90302,158,472,630,0.25079367
G1200110090401,12,11,90401,51,270,321,0.15887851
G1200110090403,12,11,90403,51,230,281,0.18149467
G1200110090404,12,11,90404,163,384,547,0.29798904
G1200110090502,12,11,90502,81,541,622,0.13022508
G1200110090503,12,11,90503,47,211,258,0.18217054
G1200110090504,12,11,90504,43,161,204,0.21078432
G1200110090601,12,11,90601,38,238,276,0.13768116
G1200110090602,12,11,90602,73,320,393,0.18575063
G1200110090700,12,11,90700,160,806,966,0.16563147
G1200110090801,12,11,90801,54,365,419,0.12887828
G1200110090802,12,11,90802,83,316,399,0.20802005
G1200110090900,12,11,90900,5,526,531,0.009416196
G1200110091000,12,11,91000,0,382,382,0
G1200110091100,12,11,91100,351,385,736,0.47690219
G1200110091201,12,11,91201,158,309,467,0.33832976
G1200110091202,12,11,91202,53,371,424,0.125
G1200110091300,12,11,91300,32,316,348,0.091954023
G1200110091400,12,11,91400,85,521,606,0.14026402
G1200110091500,12,11,91500,116,466,582,0.19931272
G1200110091600,12,11,91600,0,325,325,0
G1200110091701,12,11,91701,92,218,310,0.29677418
G1200110091702,12,11,91702,150,158,308,0.48701298
G1200110091801,12,11,91801,154,386,540,0.28518519
G1200110091802,12,11,91802,168,286,454,0.37004405
G1200110091901,12,11,91901,63,278,341,0.18475074
G1200110091902,12,11,91902,129,375,504,0.25595239
G1200110092000,12,11,92000,11,386,397,0.027707808
G1200110100101,12,11,100101,122,256,378,0.32275131
G1200110100103,12,11,100103,84,170,254,0.33070865
G1200110100104,12,11,100104,51,28,79,0.64556962
G1200110100105,12,11,100105,0,73,73,0
G1200110100201,12,11,100201,32,58,90,0.35555556
G1200110100202,12,11,100202,199,186,385,0.51688313
G1200110100300,12,11,100300,263,327,590,0.44576272
G1200110100400,12,11,100400,160,341,501,0.31936127
G1200110100501,12,11,100501,0,45,45,0
G1200110100502,12,11,100502,266,100,366,0.72677594
G1200110100600,12,11,100600,111,383,494,0.22469635
G1200110100700,12,11,100700,229,342,571,0.40105078
G1200110100801,12,11,100801,118,263,381,0.30971128
G1200110100802,12,11,100802,166,822,988,0.1680162
G1200110110100,12,11,110100,158,473,631,0.25039619
G1200110110301,12,11,110301,0,912,912,0
G1200110110302,12,11,110302,110,930,1040,0.10576923
G1200110110303,12,11,110303,23,451,474,0.048523206
G1200110110307,12,11,110307,0,340,340,0
G1200110110308,12,11,110308,206,467,673,0.30609211
G1200110110309,12,11,110309,47,609,656,0.07164634
G1200110110311,12,11,110311,72,602,674,0.10682493
